p (r/min),w (rad/s)
5.50917,0.104894
7.095,0.135088
12.5583,0.23911
8.06667,0.153589
11.0917,0.211185
6.66417,0.126885
5.70167,0.108559
5.70167,0.108559
1.03583,0.0197222
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.0275,0.000523599
0.0916667,0.00174533
5.32583,0.101404
12.4025,0.236143
9.1575,0.174358
13.145,0.25028
3.465,0.0659734
-0.33,-0.00628319
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-0.0275,-0.000523599
-0.284167,-0.00541052
0.724167,0.0137881
-1.31083,-0.0249582
1.46667,0.0279253
-0.495,-0.00942478
0.4125,0.00785398
0.4125,0.00785398
0.7975,0.0151844
-1.08167,-0.0205949
0.88,0.0167552
0.3575,0.00680678
-1.4025,-0.0267035
1.6225,0.0308923
-0.128333,-0.00244346
-0.128333,-0.00244346
0.669167,0.0127409
0.66,0.0125664
-1.4575,-0.0277507
0.641667,0.0122173
-0.4675,-0.00890118
-0.0458333,-0.000872665
0.9075,0.0172788
-0.806667,-0.0153589
-0.806667,-0.0153589
3.70333,0.0705113
3.70333,0.0705113
14.3642,0.273493
12.9892,0.247313
10.0375,0.191114
13.4658,0.256389
10.8992,0.20752
9.44167,0.179769
12.595,0.239808
10.7067,0.203854
12.8608,0.24487
12.0633,0.229685
6.83833,0.130202
-3.31833,-0.0631809
0.779167,0.0148353
3.08917,0.0588176
0.311667,0.00593412
1.17333,0.0223402
0.165,0.00314159
1.05417,0.0200713
0.22,0.00418879
0.2475,0.00471239
0.0183333,0.000349066
0,0
1.21,0.0230383
-0.1925,-0.00366519
0.605,0.0115192
0.4125,0.00785398
0.870833,0.0165806
-0.055,-0.0010472
1.64083,0.0312414
-0.0458333,-0.000872665
1.32917,0.0253073
0.348333,0.00663225
0.320833,0.00610865
0.6325,0.0120428
-0.421667,-0.00802851
-0.7975,-0.0151844
0.733333,0.0139626
0.0183333,0.000349066
-0.128333,-0.00244346
1.43,0.0272271
1.43,0.0272271
2.24583,0.0427606
0.293333,0.00558505
1.65917,0.0315905
-2.255,-0.0429351
0.55,0.010472
-1.63167,-0.0310669
1.5125,0.0287979
-1.33833,-0.0254818
1.5125,0.0287979
-1.4025,-0.0267035
5.64667,0.107512
8.45167,0.160919
13.5758,0.258483
11.6783,0.222355
10.8167,0.205949
5.57333,0.106116
3.2725,0.0623083
5.49083,0.104545
2.10833,0.0401426
7.13167,0.135787
1.87,0.0356047
5.005,0.095295
1.72333,0.0328122
3.75833,0.0715585
4.32667,0.0823795
7.40667,0.141023
7.40667,0.141023
4.90417,0.0933751
3.63,0.069115
0.568333,0.010821
6.00417,0.114319
-0.183333,-0.00349066
5.64667,0.107512
1.06333,0.0202458
1.06333,0.0202458
3.34583,0.0637045
-0.11,-0.0020944
4.46417,0.0849975
0.705833,0.013439
5.445,0.103673
0.815833,0.0155334
2.62167,0.0499164
2.5575,0.0486947
4.47333,0.0851721
0.7425,0.0141372
5.10583,0.0972148
2.24583,0.0427606
3.4375,0.0654498
-0.375833,-0.00715585
1.53083,0.029147
3.08,0.0586431
0.0458333,0.000872665
3.41917,0.0651008
-0.485833,-0.00925025
1.75083,0.0333358
2.4475,0.0466003
2.86917,0.0546288
1.65917,0.0315905
0.476667,0.00907571
3.00667,0.0572468
7.13167,0.135787
10.5508,0.200887
14.08,0.268083
14.9508,0.284663
16.2067,0.308574
7.92917,0.150971
-2.70417,-0.0514872
4.73,0.090059
-0.650833,-0.0123918
1.21917,0.0232129
2.49333,0.047473
1.22833,0.0233874
1.4575,0.0277507
3.52917,0.0671952
0.1925,0.00366519
3.17167,0.0603884
1.05417,0.0200713
4.3175,0.082205
-0.0275,-0.000523599
-0.0275,-0.000523599
2.5575,0.0486947
0.77,0.0146608
1.1825,0.0225147
2.0075,0.0382227
0.641667,0.0122173
3.0525,0.0581195
3.8775,0.0738274
0.100833,0.00191986
3.91417,0.0745256
4.43667,0.0844739
2.915,0.0555015
2.915,0.0555015
-0.971667,-0.0185005
1.375,0.0261799
0.650833,0.0123918
0.229167,0.00436332
1.86083,0.0354302
0.788333,0.0150098
-0.119167,-0.00226893
2.475,0.0471239
-0.55,-0.010472
4.27167,0.0813323
2.20917,0.0420624
-1.44833,-0.0275762
3.64833,0.0694641
0.458333,0.00872665
0.6325,0.0120428
2.365,0.0450295
1.21917,0.0232129
1.24667,0.0237365
0.623333,0.0118682
-0.11,-0.0020944
3.25417,0.0619592
2.70417,0.0514872
-0.22,-0.00418879
-0.22,-0.00418879
-1.2925,-0.0246091
4.125,0.0785398
0.751667,0.0143117
-2.0075,-0.0382227
2.915,0.0555015
-0.825,-0.015708
-0.825,-0.015708
0.815833,0.0155334
-0.4125,-0.00785398
-0.44,-0.00837758
0.3025,0.00575959
0.229167,0.00436332
1.38417,0.0263545
1.83333,0.0349066
0.0825,0.0015708
2.75,0.0523599
1.44833,0.0275762
-0.870833,-0.0165806
3.6025,0.0685914
-0.8525,-0.0162316
1.76917,0.0336849
2.31,0.0439823
-1.55833,-0.0296706
3.2175,0.0612611
0.2475,0.00471239
