p (r/min),w (rad/s)
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.0733333,0.00139626
-0.825,-0.015708
0.2475,0.00471239
1.41167,0.0268781
-1.02667,-0.0195477
-0.311667,-0.00593412
1.97083,0.0375246
-0.623333,-0.0118682
0.339167,0.00645772
2.15417,0.0410152
0.559167,0.0106465
0.293333,0.00558505
-0.485833,-0.00925025
-0.669167,-0.0127409
1.25583,0.023911
-1.03583,-0.0197222
1.08167,0.0205949
-1.63167,-0.0310669
0.0916667,0.00174533
0.623333,0.0118682
-0.421667,-0.00802851
0.88,0.0167552
-0.898333,-0.0171042
0.238333,0.00453786
-1.28333,-0.0244346
0.348333,0.00663225
0.779167,0.0148353
-0.339167,-0.00645772
1.8425,0.0350811
-0.513333,-0.00977384
2.13583,0.0406662
-1.30167,-0.0247837
0.843333,0.016057
-0.623333,-0.0118682
1.20083,0.0228638
-0.724167,-0.0137881
1.155,0.0219911
-1.16417,-0.0221657
0.733333,0.0139626
-0.834167,-0.0158825
0.4125,0.00785398
-1.05417,-0.0200713
-1.47583,-0.0280998
1.32917,0.0253073
0.4675,0.00890118
0.33,0.00628319
-0.284167,-0.00541052
0.201667,0.00383972
-0.320833,-0.00610865
1.87,0.0356047
-0.0641667,-0.00122173
2.48417,0.0472984
-0.889167,-0.0169297
-0.504167,-0.00959931
-0.916667,-0.0174533
-0.614167,-0.0116937
0.366667,0.00698132
-0.66,-0.0125664
-0.00916667,-0.000174533
-1.25583,-0.023911
2.2275,0.0424115
-0.485833,-0.00925025
1.17333,0.0223402
1.17333,0.0223402
0.3025,0.00575959
-1.0725,-0.0204204
0.889167,0.0169297
-0.678333,-0.0129154
0.201667,0.00383972
0.201667,0.00383972
1.20083,0.0228638
1.1,0.020944
-0.825,-0.015708
0.724167,0.0137881
-1.82417,-0.0347321
1.35667,0.0258309
-0.3025,-0.00575959
3.1075,0.0591667
-1.4575,-0.0277507
-1.36583,-0.0260054
-1.0725,-0.0204204
-0.366667,-0.00698132
-1.28333,-0.0244346
-1.42083,-0.0270526
2.1725,0.0413643
-1.72333,-0.0328122
2.9975,0.0570723
2.9975,0.0570723
-1.6775,-0.0319395
2.13583,0.0406662
-1.91583,-0.0364774
2.8325,0.0539307
