p (r/min),w (rad/s)
0.825,0.015708
-3.62083,-0.0689405
-0.586667,-0.0111701
-0.275,-0.00523599
-2.0075,-0.0382227
0.155833,0.00296706
-0.669167,-0.0127409
1.75083,0.0333358
-0.146667,-0.00279253
-0.843333,-0.016057
1.87,0.0356047
0.238333,0.00453786
-1.65917,-0.0315905
-1.2925,-0.0246091
0.641667,0.0122173
0.916667,0.0174533
-2.26417,-0.0431096
-0.806667,-0.0153589
3.19917,0.060912
-0.055,-0.0010472
-0.0825,-0.0015708
2.12667,0.0404916
-0.944167,-0.0179769
1.77833,0.0338594
-1.10917,-0.0211185
0.595833,0.0113446
-1.35667,-0.0258309
-1.35667,-0.0258309
-0.623333,-0.0118682
-1.7875,-0.0340339
2.57583,0.0490438
-2.27333,-0.0432842
0.385,0.00733038
0.385,0.00733038
0.5775,0.0109956
2.95167,0.0561996
0.174167,0.00331613
3.41,0.0649262
-1.4025,-0.0267035
2.93333,0.0558505
-0.284167,-0.00541052
2.92417,0.055676
2.92417,0.055676
1.79667,0.0342085
-2.02583,-0.0385718
-0.44,-0.00837758
-1.8975,-0.0361283
0.559167,0.0106465
-1.61333,-0.0307178
0.88,0.0167552
0.88,0.0167552
-0.128333,-0.00244346
-0.476667,-0.00907571
0,0
-0.5225,-0.00994838
0.0183333,0.000349066
-0.605,-0.0115192
-0.605,-0.0115192
-0.889167,-0.0169297
2.45667,0.0467748
-0.669167,-0.0127409
1.2925,0.0246091
-1.63167,-0.0310669
1.5675,0.0298451
2.4475,0.0466003
12.705,0.241903
9.91833,0.188845
4.77583,0.0909317
2.1725,0.0413643
4.63833,0.0883137
-3.51083,-0.0668461
4.07,0.0774926
-3.0525,-0.0581195
4.68417,0.0891863
-2.52083,-0.0479966
-2.29167,-0.0436332
0.650833,0.0123918
0.495,0.00942478
3.86833,0.0736529
-2.86,-0.0544543
2.3925,0.0455531
-3.96,-0.0753982
4.9775,0.0947714
-4.33583,-0.0825541
1.705,0.0324631
-0.861667,-0.0164061
0.614167,0.0116937
4.62917,0.0881391
-2.87833,-0.0548033
4.08833,0.0778417
-4.00583,-0.0762709
3.96917,0.0755728
-2.67667,-0.0509636
-0.678333,-0.0129154
-2.21833,-0.042237
-3.70333,-0.0705113
3.96,0.0753982
-4.17083,-0.0794125
4.02417,0.07662
-1.76,-0.0335103
2.89667,0.0551524
0.9075,0.0172788
-3.50167,-0.0666716
2.64,0.0502655
-2.76833,-0.0527089
3.44667,0.0656244
-1.80583,-0.034383
3.96917,0.0755728
3.08,0.0586431
-1.41167,-0.0268781
3.70333,0.0705113
-3.25417,-0.0619592
-0.7975,-0.0151844
2.8325,0.0539307
-2.3925,-0.0455531
2.98833,0.0568977
-3.80417,-0.0724312
3.905,0.074351
-3.66667,-0.0698132
-3.7675,-0.071733
2.34667,0.0446804
-4.83083,-0.0919789
2.97,0.0565487
-3.2175,-0.0612611
-4.05167,-0.0771436
2.2275,0.0424115
-0.861667,-0.0164061
4.38167,0.0834267
-1.815,-0.0345575
-1.265,-0.0240855
0.715,0.0136136
-3.62083,-0.0689405
4.33583,0.0825541
2.54833,0.0485202
-2.9975,-0.0570723
3.15333,0.0600393
-2.92417,-0.055676
-1.71417,-0.0326377
-1.375,-0.0261799
-4.44583,-0.0846485
3.26333,0.0621337
-4.675,-0.0890118
-2.26417,-0.0431096
2.23667,0.042586
-3.85917,-0.0734784
2.40167,0.0457276
0.953333,0.0181514
-3.95083,-0.0752237
2.73167,0.0520108
-2.31,-0.0439823
5.68333,0.10821
0.66,0.0125664
-2.57583,-0.0490438
3.85,0.0733038
-2.12667,-0.0404916
-2.26417,-0.0431096
1.265,0.0240855
-3.11667,-0.0593412
2.71333,0.0516617
2.71333,0.0516617
1.65917,0.0315905
3.92333,0.0747001
-2.79583,-0.0532325
-0.806667,-0.0153589
0.2475,0.00471239
-3.75833,-0.0715585
-3.75833,-0.0715585
-2.41083,-0.0459022
-2.97,-0.0565487
3.2175,0.0612611
-3.56583,-0.0678933
0.861667,0.0164061
4.14333,0.0788889
-3.52917,-0.0671952
-2.23667,-0.042586
-0.623333,-0.0118682
-3.135,-0.0596903
0.6875,0.01309
0.6875,0.01309
-0.788333,-0.0150098
4.4,0.0837758
-2.20917,-0.0420624
-2.7775,-0.0528835
3.96917,0.0755728
-3.80417,-0.0724312
1.22833,0.0233874
1.7325,0.0329867
1.7325,0.0329867
4.51917,0.0860447
-3.9325,-0.0748746
-2.79583,-0.0532325
-2.79583,-0.0532325
-2.805,-0.0534071
2.54833,0.0485202
-0.339167,-0.00645772
-3.61167,-0.068766
2.53917,0.0483456
4.16167,0.0792379
-3.03417,-0.0577704
-3.03417,-0.0577704
-3.72167,-0.0708604
3.77667,0.0719076
1.6775,0.0319395
-2.8875,-0.0549779
-0.128333,-0.00244346
-2.96083,-0.0563741
-2.96083,-0.0563741
1.87917,0.0357792
2.1725,0.0413643
-3.11667,-0.0593412
2.9975,0.0570723
-0.320833,-0.00610865
-0.320833,-0.00610865
2.51167,0.047822
-1.80583,-0.034383
1.155,0.0219911
3.4375,0.0654498
-4.19833,-0.0799361
2.37417,0.045204
3.245,0.0617847
-3.3,-0.0628319
3.355,0.0638791
1.46667,0.0279253
-2.1175,-0.0403171
4.02417,0.07662
-0.8525,-0.0162316
0.614167,0.0116937
-1.1275,-0.0214675
-0.476667,-0.00907571
1.55833,0.0296706
4.29917,0.0818559
4.29917,0.0818559
3.48333,0.0663225
1.4575,0.0277507
-2.79583,-0.0532325
3.7675,0.071733
-3.94167,-0.0750492
2.9975,0.0570723
1.27417,0.0242601
-2.26417,-0.0431096
2.08083,0.039619
-0.430833,-0.00820305
-2.04417,-0.0389208
0.055,0.0010472
-0.751667,-0.0143117
-1.0175,-0.0193732
1.87917,0.0357792
-2.2825,-0.0434587
0.916667,0.0174533
4.17083,0.0794125
-2.95167,-0.0561996
-1.33833,-0.0254818
3.56583,0.0678933
-2.74083,-0.0521853
4.16167,0.0792379
3.00667,0.0572468
-2.43833,-0.0464258
1.08167,0.0205949
1.99833,0.0380482
-1.85167,-0.0352557
3.18083,0.0605629
-0.5775,-0.0109956
-4.35417,-0.0829031
3.45583,0.0657989
-2.07167,-0.0394444
1.595,0.0303687
-1.43,-0.0272271
-1.43,-0.0272271
4.0425,0.076969
2.38333,0.0453786
-2.38333,-0.0453786
4.49167,0.0855211
0.513333,0.00977384
0.513333,0.00977384
4.03333,0.0767945
-3.00667,-0.0572468
-1.06333,-0.0202458
2.09,0.0397935
-3.09833,-0.0589921
-0.055,-0.0010472
1.49417,0.0284489
-2.42,-0.0460767
2.01667,0.0383972
-0.348333,-0.00663225
0.421667,0.00802851
3.72167,0.0708604
-2.89667,-0.0551524
2.5025,0.0476475
0.284167,0.00541052
0.861667,0.0164061
-2.2275,-0.0424115
2.16333,0.0411898
-2.09917,-0.039968
-2.05333,-0.0390954
2.02583,0.0385718
-3.92333,-0.0747001
-0.678333,-0.0129154
0.88,0.0167552
-4.32667,-0.0823795
1.1275,0.0214675
-0.641667,-0.0122173
1.11833,0.021293
4.565,0.0869174
0.559167,0.0106465
2.54833,0.0485202
4.3175,0.082205
-3.58417,-0.0682424
-1.75083,-0.0333358
2.75,0.0523599
-2.86,-0.0544543
-1.68667,-0.0321141
1.32,0.0251327
-1.50333,-0.0286234
3.72167,0.0708604
-0.650833,-0.0123918
-3.355,-0.0638791
3.30917,0.0630064
2.10833,0.0401426
-2.74083,-0.0521853
1.4025,0.0267035
1.16417,0.0221657
1.16417,0.0221657
2.64917,0.05044
-4.3725,-0.0832522
0.183333,0.00349066
0.0825,0.0015708
0.348333,0.00663225
10.3492,0.197048
7.98417,0.152018
7.21417,0.137357
10.1108,0.19251
9.82667,0.187099
7.6725,0.146084
6.74667,0.128456
-1.22833,-0.0233874
7.425,0.141372
4.17083,0.0794125
1.5675,0.0298451
6.56333,0.124966
1.11833,0.021293
5.98583,0.11397
4.7025,0.0895354
2.32833,0.0443314
5.6925,0.108385
2.32833,0.0443314
3.3,0.0628319
5.64667,0.107512
-0.3575,-0.00680678
6.27,0.119381
2.13583,0.0406662
2.89667,0.0551524
5.24333,0.0998328
3.47417,0.066148
5.38083,0.102451
5.5,0.10472
1.42083,0.0270526
2.48417,0.0472984
5.48167,0.104371
0,0
6.215,0.118333
-0.825,-0.015708
3.95083,0.0752237
3.09833,0.0589921
2.86,0.0544543
4.52833,0.0862193
4.25333,0.0809833
1.66833,0.031765
6.55417,0.124791
